id,country,state,city,zip_code,street
100,Algerie,Batna,Rue des Frères BOUABSA,19000,N⁰ 30
101,Algerie,,Rue Kaloua el cheref Hassi Mameche,19000,W49A
102,Algerie,Algerie,( place ettoute) Blida,19000,1 rue ezzroug ezzraimi
103,Algerie,,Djelfa,19000,Hassi Bahbah 17000
104,Algerie,,Djelfa,19000,Messaâd
105,Algerie,,Skikda,19000,
106,Algerie,,Alger,19000,Coop cilfa ben mred Bordj el kiffan
107,Algerie,a côté du tribunal de Ouargla,,19000,
108,Algerie,N°6 Rue 8  Tissemsilt,,19000,
109,Algerie,Algèrie,Alger,19000,rue Chenoua Hydra
110,Algerie,23 Rue Ben Amiour Abdelkader Annaba,,19000,
111,Algerie,Algèrie,Mascara .Mohammadia,19000,
112,Algerie,,Oran,19000,Rue Mohamed V
113,Algerie,N°03 Rue Ben boulaid el hadjar Annaba,,19000,
114,Algerie,,Citè 410 lgts  Batna,19000,
115,Algerie,GHAZAOUET,,19000,
116,Algerie,,Biskra,19000,tolga
117,Algerie,,Blida,19000,Rue11 Décembre 1960
118,Algerie,,11 rue bouzbide Ahmed Annaba,19000,
119,Algerie,Algerie,Cité 400 Logst Bâtiment B 8 N 44 en face lycee Chihab El eulma wilaya de sétif,19000,
120,Algerie,Algerie.,zone sud Quartier A N°8 tizi ouzou,19000,
121,Algerie,,Mascara,19000,Rue Belaouni Benaissa
122,Algerie,,Annaba,19000,25 rue emir abdelkader
123,Algerie,Cité brahmia sadek 172 logements bloc A7 N° 01 Tebessa,,19000,
124,Algerie,,Blida,19000,
125,Algerie,Cité cnep chevalley Bouzareah,,19000,
126,Algerie,,Batna,19000,Rue Hadj Abdelmadjid Abbdessamed
127,Algerie,Algèrie,Alger,19000,Cité Malki bt j 7 n 3 Ben Aknoun
128,Algerie,,,19000,
129,Algerie,,Alger,19000,Kouba
130,Algerie,,Blida,19000,Zabana
131,Algerie,,Touggourt,19000,Tebesbest
132,Algerie,11 RUE TALEB ABDERHAMENE BEB EL OUED ALGER,,19000,
133,Algerie,,Oran,19000,
134,Algerie,,Ain Temouchent,19000,Café de Diden
135,Algerie,36 rue boukhezer ahmed (ex rue Montaigne) Bab El Oued Alger,,19000,
136,Algerie,,El Oued,19000,N48
137,Algerie,,Cité Djawwed Eldjadid BISKRA,19000,
138,Algerie,medea,,19000,
139,Algerie,20 rue fréres Faress ( ibn badiss) Tiaret,,19000,
140,Algerie,Italie,Montecompatri RM,19000,
141,Algerie,,Rouïba,19000,Rue Larbi Abdelsalem
142,Algerie,Oran,,19000,
143,Algerie,ALGERIE,BOUIRA,19000,Cité  Lahlou
144,Algerie,,Alger Ctre,19000,27 Rue Larbi Ben M'hidi
145,Algerie,,El Khroub,19000,
146,Algerie,cite lescure bt e5 n 2 oran,,19000,
147,Algerie,Cité de la Paix. bloc administrative premier étage. en face de la BADR banque. Tébessa  Algerie,,19000,
148,Algerie,Algerie,Relizane,19000,06 rue du moulin
149,Algerie,04 Rue Khelifa Boukhalefa Alger centre 16000,,19000,
150,Algerie,,Ghazaouet Tlemcen,19000,
151,Algerie,bordj boureridj,mesila,19000,media
152,Algerie,khenchela Boulevard ben boulaid,,19000,
153,Algerie,Bechar,,19000,
154,Algerie,boulevard Comandant Djaoudi Abderrahmane - Hai el Amir 31010 - Oran. (ex bd charlemagne - hotel de ville),6,19000,
155,Algerie,,Alger,19000,Boulevard Victor Hugo
156,Algerie,Cité GARIDI 1 BT 46 N 05 KOUBA ALGER,,19000,
157,Algerie,Alger,Bordj El kiffan,19000,
158,Algerie,Alger,Belouizdad,19000,17 AVENUE MOHAMED
159,Algerie,Alger,El Harrach,19000,35 RUE BOUAMAMA
160,Algerie,Hussein-Dey - ALGER,,19000,
161,Algerie,,Bouira,19000,1100
162,Algerie,Mostaganem 27000,Bloc 135 Étage 3(A)، Cité 5 Juillet,19000,
163,Algerie,,Bouira,19000,CEM Guizi Said
164,Algerie,Rue Darrar abderrahmen  TLEMCEN,,19000,
165,Algerie,Rue ATTIA AHMED N=01 - Annaba -23000,,19000,
166,Algerie,.,Oran,19000,Cité lescure batiment 6
167,Algerie,Tobbal Béjaia,Cité 96 Logements Bt A04 N30,19000,
168,Algerie,Hydra Alger,El Mouradia,19000,2 Chemin Beauregard
169,Algerie,16002 Alger,Chéraga,19000,Dar Diaf
170,Algerie,Said Hamdine Alger,348 logts Immeuble 5 numéro 3,19000,
171,Algerie,Alger,31 Boulevard Zighoud Youcef,19000,
172,Algerie,Alger,Alger Centre,19000,2 Rue Ali Boumendjel
173,Algerie,15 Rue Larbi Ben M'hidi Alger,,19000,
174,Algerie,Kouba Alger,Rue des Fréres Khennouche,19000,Villa 32
175,Algerie,16000 Alger,5 Rue Omar Amimour (ex. Elysée Reclus ),19000,
176,Algerie,27000 Mostaganem,Route d'Oran,19000,Cité 400 logements
177,Algerie,16004 ALGER,rue Didouche Mourad,19000,117
178,Algerie,Alger,Sacré Cœur,19000,rue Letellier
179,Algerie,B.P.16000 Alger,6 Rue Larbi Ben M'Hidi,19000,
180,Algerie,Benaknoun Alger,18 Chemin Khalef Mustapha,19000,
181,Algerie,46 Rue Rabah Bourbia (Ex chemin luciani) El Biar Alger,,19000,
182,Algerie,16004 Alger,Alger Centre,19000,20 rue Claude Debussy
183,Algerie,Alger,Kouba,19000,23 clos des vergers
184,Algerie,16000 Alger,39 rue Louis Rougé. El biar,19000,
185,Algerie,31000 Oran,23 Rue HAOUES La Houari,19000,
186,Algerie,Alger,Birmandreis,19000,les Sources
187,Algerie,16000 Alger,rue Abane Ramdane,19000,4
188,Algerie,15000 Tizi-Ouzou,9 rue des frères Sidi-Mâamar,19000,
189,Algerie,Cité des 348 Logts Bt 05 N° 03 Said Hamdine 16013 Alger,,19000,
190,Algerie,16000 Alger,10 rue Enfantin,19000,
191,Algerie,wilaya de Blida,El affroun,19000,04 rue Abdellah abdelkader 09200
192,Algerie,Alger centre 16000,Rue Rachid Tidjani,19000,
193,Algerie,Alger centre,43 Rue Didouche Mourad,19000,
194,Algerie,Reghaia Alger,Bâtiment 1 n°44,19000,Cité Bouzegza
195,Algerie,Alger,2 bt C4 Kouba,19000,Citée des Annassers
196,Algerie,Alger,Bloc(C),19000,9ème Groupe
197,Algerie,Kouba 16308 Alger,Lawhouse - Annassers II Bt A 28 n°2,19000,
198,Algerie,Alger Centre,Bd Larbi Ben M'hidi,19000,2 Rue Omar Bencheickh
199,Algerie,Alger,Draria,19000,78 Lot Oued Torfa
200,Algerie,26 boulevard Zirout Youcef Alger /,,19000,
201,Algerie,16000 Alger,78 rue Didouche Mourad,19000,
202,Algerie,Bordj Bou Arreridj,Cité des 1008/738 bloc 21 n°164,19000,
203,Algerie,rue Voltaire Alger,4,19000,
204,Algerie,Alger,2 rue des frères Ferroum BP 327 Kouba,19000,
205,Algerie,Pins Maritimes - 16130 Alger Mohammadia,Tour  Business Center,19000,
206,Algerie,30000 Ouargla,Hassi-Messaoud,19000,
207,Algerie,,16035 Alger,19000,Hydra
208,Algerie,,Alger,19000,Hydra
209,Algerie,,Alger,19000,Ben Aknoun
210,Algerie,Cité Elmoudjahidin N:43Ben Aknoun .Alger  Alger 16000,,19000,
211,Algerie,,Oran,19000,31000
212,Algerie,,Oran 31000,19000,49 rue zaghloul Es Senia
213,Algerie,.,Oran,19000,31000
214,Algerie,,Oran,19000,31000
215,Algerie,Oran,,19000,
216,Algerie,.,Oran,19000,31000
217,Algerie,.,Oran,19000,31000
218,Algerie,.,Oran,19000,31000
219,Algerie,14 QUAI KLEBER. Strasbourg,,19000,
220,Algerie,Bejaia,Rue des 7 Martyrs  06011 Seddouk Centre,19000,
221,Algerie,74 rue Blanche - 75009 Paris,,19000,
222,Algerie,,Tlemcen,19000,Cité Haouet Ameur
223,Algerie,,Blida,19000,Boufarik
224,Algerie,BLIDA,04 PLACE DES MARTYRES,19000,
225,Algerie,Hussein-Dey - ALGER,El Magharia,19000,Cité Patrimoine villaC9
226,Algerie,,Boumerdès,19000,DELLYS
227,Algerie,21 rue CNRA 23000 ANNABA ALGÉRIE,,19000,
228,Algerie,,Tigzirt 15019,19000,Rue Mohamed El-Mouheb
229,Algerie,Alger,boulevard Zirout  Youcef,19000,26
230,Algerie,11 rue el quods constantine algérie,,19000,
231,Algerie,3 Clos Les Vergers Kouba Alger,,19000,
232,Algerie,,,19000,
233,Algerie,,Koléa,19000,
234,Algerie,,73 Lots N° 35 Ain Bey Les 4 Chemin Constantine,19000,
235,Algerie,,Ancienne caserne premier etage B n 01 Guelma,19000,
236,Algerie,,Skikda,19000,Rue Ali Abdenour
237,Algerie,,41 rue Mohamed fidai Chlef,19000,barreau de Blida
238,Algerie,,Rue Djebel Bouzegza El Harrach,19000,barreau d'Alger
239,Algerie,,Bechar,19000,n 62 beni abbes
240,Algerie,ALGER,Lot Appreval RW50 Immeuble Fadli   Bt B N°6  16009  KOUBA,19000,
241,Algerie,,ALGER,19000,Hussein-Dey
242,Algerie,,14 rue el fida sétif,19000,barreau de sétif
243,Algerie,,Alger,19000,Rue N°03 Aissat idir cheraga
244,Algerie,Cab : 11 Rue Larachiche Med Khemis Miliana,barreau de Blida,19000,
245,Algerie,cité Elchahid Djouab Chemin Doudou Mokhtar Ben Aknoun– Alger –,02 B,19000,
246,Algerie,169 Rue de l'A.LN. Hamma Bouziane Constantine,barreau de Constantine,19000,
247,Algerie,,setif,19000,14 rue el fida
248,Algerie,Alger.,Casbah,19000,5 Rue Lieutenant Ahmed Garani
249,Algerie,,Oran,19000,
250,Algerie,76 Rue Réaumur Paris 75002,,19000,
251,Algerie,ALGERIE,Cité BOUTRIK Embarek Sour El Ghozlane 10004 Wilaya de BOUIRA,19000,
252,Algerie,,Tamanrasset,19000,Centre ville
253,Algerie,Carrefour Dr Merghoub Centre ville Ghardaïa Algerie,,19000,
254,Algerie,,Khenchela (40),19000,Khenchela
255,Algerie,,Alger,19000,Ben Aknoun
256,Algerie,Alger,Souidania,19000,Côte Blanche
257,Algerie,107 lot karra slimane kiffane Tlemcen,,19000,
258,Algerie,Mostaganem,,19000,
259,Algerie,Ben Aknoun Alger,,19000,
260,Algerie,Castellón (Espagne),,19000,
261,Algerie,28 avenue Claude Debussy Alger,,19000,
262,Algerie,Bouira.,Rue Gharbi Guemraoui,19000,39
263,Algerie,Oran,,19000,
264,Algerie,,Bab El Oued 16000,19000,01 Rue Abderrahmane Hami
265,Algerie,Birkhadem Alger,,19000,
266,Algerie,,Skikda,19000,
267,Algerie,2,promotion gare routière bt n°:02,19000,
268,Algerie,,Rue Kelkacem Ouzri n 15 Blida,19000,
269,Algerie,Alger villa n 18 El Mouradia Alger,,19000,
270,Algerie,19 Rue Chihani Bachir . Souk Ahras,,19000,
271,Algerie,220 RUE MED BELOUIZDAD RUISSEAU ALGER,,19000,
272,Algerie,Sidi M'hamed Alger,,19000,
273,Algerie,Algerie,Constantine,19000,09 Boulakroun Mohamed St Jean
274,Algerie,18 Rue Ahmed Zabanna Alger,,19000,
275,Algerie,,Alger,19000,Kouba
276,Algerie,,Aïn Fakroun,19000,
277,Algerie,cite 05 juillet Bt D91 N° 05 Bab ezzouar Alger,,19000,
278,Algerie,Avnue 1 novembre boudouaou boumerdes,,19000,
279,Algerie,65 Rue de Tripoli Hussein Day Alger,,19000,
280,Algerie,,Alger,19000,rue Khelifa Boukhalfa (ex-rue Richelieu) - Alger Centre
281,Algerie,Mostaganem,,19000,
282,Algerie,Cité Saâda ex-protin bloc S n'02 Oran,,19000,
283,Algerie,n 27 00000 31 - Oran,Larbi Ben M'hidi,19000,
284,Algerie,,,19000,
285,Algerie,Skikda,Rue youcef kaddid 21000,19000,
286,Algerie,06 rue 5 juillet El harrach Alger - Alger,,19000,
287,Algerie,Rue Derrar Abderrahmen Kifan,,19000,
288,Algerie,Constantine,,19000,
289,Algerie,Hassi Ben Abdellah - Ouargla,,19000,
290,Algerie,,Ouargla (30),19000,Hassi Messaoud
291,Algerie,Ouargla & hassi Messaoud,,19000,
292,Algerie,Rue REMMACH Aissa 3400 Bordj Bou Arréridj,,19000,
293,Algerie,,Bir Mourad Raïs,19000,Said Hamdine
294,Algerie,TIZI OUZOU,,19000,
295,Algerie,,Dar El Beïda,19000,
296,Algerie,11 Rue Henri Dunant Alger,,19000,
297,Algerie,,Fouka,19000,Vers Bou-ismail
298,Algerie,39 auto construction draria alger.,,19000,
299,Algerie,Tiaret 14000,,19000,
300,Algerie,Annaba,Bennamiour Abdelkader,19000,23
301,Algerie,Lotissement Douzi 01 N°26 Bab Ezzouar Alger,,19000,
302,Algerie,Centre Ville Oran,,19000,
303,Algerie,Hai Bouamama Ilot 574 n°380 ORAN,,19000,
304,Algerie,tours villas Tizi-Ouzou 15000,Rue des frères Slimani,19000,
305,Algerie,Cité Bahmid Bloc C n°2 Ouargla,,19000,
306,Algerie,Blida,,19000,
307,Algerie,HAY NASR ZONE 5A CHLEF,,19000,
308,Algerie,Cité HLM 2 ème groupe bt B hamma el annasser,,19000,
309,Algerie,143 rue Larbi Ben M'hidi Didouche Mourad Constantine,,19000,
310,Algerie,rue du Cardinal Mercier  75009 PARIS,8,19000,
311,Algerie,04 rue des freres khelladi alger centre 16000,,19000,
312,Algerie,Rue du Criblet 5  1700 Fribourg,,19000,
313,Algerie,Alger,,19000,
314,Algerie,Alger,Rue du Parc Hydra,19000,
315,Algerie,21 -A Said Hamdine Bir Morad Rais Alger,,19000,
316,Algerie,,Wilaya de Aïn Defla,19000,
317,Algerie,France,79 rue de la santé (617.98 km) 75013 Paris,19000,
318,Algerie,elmanzah1 1 tunis,14 rue Esseyouti.,19000,
319,Algerie,cooperative el fath soumaa blida,,19000,
320,Algerie,Alger centre,,19000,
321,Algerie,BEJAIA 06310 - El Kseur Algerie,EL Kseur,19000,Route De TIZI OUZOU
322,Algerie,,Bordj Bou Arreridj 34000,19000,750 Boulevard Laribi Lakhder
323,Algerie,Cité 572/2226 Logts Bt 79 C n°01 Ain Naadja -Gue de Constantine -Alger,,19000,
324,Algerie,Chemin des Crêtes – Le Paradou – Alger,8,19000,
325,Algerie,02 rue Abane Ramdane Alger,,19000,
326,Algerie,Mostaganem algerie,,19000,
327,Algerie,06 Angle rue Toulouse et rue Tripoli,Oran,19000,
328,Algerie,Alger,Bir Mourad Raïs,19000,
329,Algerie,,Annaba,19000,Rue Asla Hocine
330,Algerie,Cité Des Fonctionnaires Bloc:C1C : CHLEF,,19000,
331,Algerie,8 rue hamlaoui Constantine,,19000,
332,Algerie,02 rue saad taleb alger centre,,19000,
333,Algerie,RUE SAID AYAD,,19000,
334,Algerie,,Alger,19000,El-Biar
335,Algerie,MH.L.M,,19000,
336,Algerie,Alger,El Mouradia,19000,Avenue El Ahrar
337,Algerie,Alger,,19000,
338,Algerie,place Tarik Ib Ziad 23000 - Annaba,8,19000,
339,Algerie,Rue Lamara Abdelkader - ANNABA,4,19000,
340,Algerie,Alger,Bir Khadem,19000,Texraine
341,Algerie,Tizi Ouzzou Ville,,19000,
342,Algerie,Bejaia ville,,19000,
343,Algerie,Cité 594 logt bt D5 N 3 aadl bach djerah,,19000,
344,Algerie,36 rue des freres abedeli hai an nasr Batna 05000,,19000,
345,Algerie,41 rue Ali Medouche ex Vauban Hussein Dey Alger,,19000,
346,Algerie,Cite de la paix Tebessa,,19000,
347,Algerie,Alger,22 rue Askri Hcen Bab El Oued,19000,
348,Algerie,N 11 chemin des jeunes aveugles draria alger,,19000,
349,Algerie,Alger 16000,Bir Mourad Rais,19000,Said Hadmine
350,Algerie,Chéraga Alger,07 Rue Tella Ahcena,19000,
351,Algerie,,,19000,
352,Algerie,Alger,Alger Centre,19000,
353,Algerie,46 rue Rabah bourbia ex chemin luciani El Biar,,19000,
354,Algerie,N 11 chemin des jeunes aveugles draria alger,,19000,
355,Algerie,Cheraga Alger,,19000,
356,Algerie,ksar el fougani Tamenrasset,,19000,
357,Algerie,Grand Chéraga Chéraga 16000 – Alger,54 Sidi Hassen,19000,
358,Algerie,31cité Djebli Mohamed. 27000 Mostaganem,,19000,
359,Algerie,Cité El Moudjahidin numéro 43 Chevaly - Alger 16000 Alger,,19000,
360,Algerie,Alger,202 Bis Rue Mohamed Belouizdad Ruisseau,19000,
361,Algerie,Boulevard Sidi Abed n°06 48000 Relizane,,19000,
362,Algerie,02 Rue Frères Tahar et Mouloud Alak Sidi Mhamed Alger 16000 Alger,,19000,
363,Algerie,Cité diar eljamaa bloc 3 cage f 117 Bach jarah alger 16000 Alger,,19000,
364,Algerie,Rue frères SAHRAOUI Boudouaou 35400 Boumerdes,,19000,
365,Algerie,Algerie,Tlemcen,19000,Lotissement Kara Slimane n10
366,Algerie,Cité 100 logts Aissat Idir Enface Tribunal de Chéraga Alger,,19000,
367,Algerie,11 - Ain Djenna - Mazouna -RELIZANE - ALGERIE -48220.,,19000,
368,Algerie,,Bouira,19000,N5
369,Algerie,43 rue 11 décembre 1960 el biar Alger (résidence fadli salah),,19000,
370,Algerie,13 Rue Moussa Rebai Beb El Oued Alger Centre,,19000,
371,Algerie,Batna,Arris,19000,
372,Algerie,Alger Cheraga,,19000,
373,Algerie,,Cité 1406 Logts، Boumerdes 35000,19000,Bâtiment 27
374,Algerie,Tizi Ouzou,,19000,
375,Algerie,Cité El Moudjahidin numéro 43 Chevaly - Alger,,19000,
376,Algerie,cabinet d'avocat mr ayachi,,19000,
377,Algerie,Rue Gascogne Alger Alger Centre 16001,10,19000,
378,Algerie,,Oran,19000,19 Boulevard Hamou
379,Algerie,05 rue des lois Oran,,19000,
380,Algerie,,Dar El Beïda,19000,N25
381,Algerie,36 rue Mberbache Abdelkader Mediouni Oran,,19000,
382,Algerie,Coopérative Cheraitia. Haï Gaaloul. Alger Plage,,19000,
383,Algerie,Alger,Said Hamdine,19000,
384,Algerie,Rue Palestine Ste Coopérative PIMA Bt B N 03 - Blida,,19000,
385,Algerie,Rouiba,,19000,
386,Algerie,26 Hihi Mekki Oum el Bouaghi,,19000,
387,Algerie,11 Rue Khaled Abdelkader,,19000,
388,Algerie,11 Rue Khaled Abdelkader Tlemcen,,19000,
389,Algerie,,14 Rue Badr Kouba Alger,19000,
390,Algerie,Casba. Place des Martyrs Alger,8 avenue du 1er novembre 1954,19000,
391,Algerie,Alger,16009,19000,18 avenue du 1er Novembre
392,Algerie,Souk Ahras,41000,19000,2 Rue Ahcen Belaboudi
393,Algerie,Cité 400 logements bâtiment 12 numéro 20 les eucalyptus Alger,,19000,
394,Algerie,3 Place Port Saïd Alger,,19000,
395,Algerie,log OPGI Draria.  Alger 16000,42,19000,
396,Algerie,Alger Centre,,19000,
397,Algerie,Alger 16000,Dely Brahim,19000,72 Bis Bois des cars 2
398,Algerie,rue Capitaine Mennani 16000 Alger.,31,19000,
399,Algerie,348 Logts Bt N03 Said Hamdine (Hydra) - Alger 16013,,19000,
400,Algerie,Coopérative immobilière en-asr n 11 Reghaia  Alger,,19000,
401,Algerie,Alger.,BP 435 Hydra 16035,19000,rue Tolstoï (Lots Piete)
402,Algerie,rue colonelle bouguerra 42400.w de Tipaza.,16,19000,
403,Algerie,Alger,Residence des 24 logements  Said Hamdine,19000,
404,Algerie,Rue Belle Vue Stand Batna,6,19000,
405,Algerie,Coopérative immobilière djurdjura souk el khemis Maatkas Tizi ouzou,,19000,
406,Algerie,,Souk-Ahras,19000,Rue Handel Ahmed
407,Algerie,Alger,BenAknoun,19000,5 Rue Med khider
408,Algerie,08 rue Bourtima Mohamed. Djidiouia. Relizane.,,19000,
409,Algerie,400 log el Oued,,19000,
410,Algerie,Akbou Béjaïa,,19000,
411,Algerie,Alger Centre,,19000,
412,Algerie,18 rue chick Belhaddad bordj bou arreridj,,19000,
413,Algerie,cite martyre bouteldja boudjamaa grarem gouga wilaya de mila,,19000,
414,Algerie,Secteur D 2 rue dz N°278 B.B.Arreridj,,19000,
415,Algerie,cité 1000 logts Iheddaden Bejaia,,19000,
416,Algerie,23 rue D point de jour - Oran,,19000,
417,Algerie,,Ben Aknoun,19000,N41
418,Algerie,Batna,Cité an Nasr,19000,
419,Algerie,04 boulevard EMIR ABDELKADER. Oran,,19000,
420,Algerie,Rue F N°14 Les castors Familiaux Maraval Oran,,19000,
421,Algerie,64 rue Dabbih Cherif,,19000,
422,Algerie,Alger,Cheraga,19000,Sidi Hassan
423,Algerie,Wilaya Tlemcen,Ville Maghnia,19000,25 Rue Tindouf
424,Algerie,,Aïn Témouchent,19000,Route d'Ain Kihel
425,Algerie,lotissement urbain n 62,,19000,
426,Algerie,,Bir Mourad Raïs,19000,2 Chemin Said Hamdine
427,Algerie,,Tlemcen 13000,19000,11 Rue Khaled Abdelkader
428,Algerie,02 RUE LAMALI AHMED,,19000,
429,Algerie,Constantine,7 Tlili Said (r'ssif),19000,
430,Algerie,24 Rue Docteur Saliège - El Biar- Alger.,,19000,
431,Algerie,Staoueli  Alger,Rue des abattoirs,19000,
432,Algerie,Alger 16000.,El Biar,19000,103 Boulevard Colonel Bougara
433,Algerie,cité les asphodèles bt A2 benaknoune alger,,19000,
434,Algerie,Alger.,Kouba. Apreval,19000,
435,Algerie,Rue Khoudja Khaled.  Tizi ouzou,,19000,
436,Algerie,,Bab Ezzouar,19000,P5PR+M9V
437,Algerie,,Bab El Oued 16000,19000,Boulevard Said Touati
438,Algerie,Cité Boussouf bt 17 n 10 Constantine,,19000,
439,Algerie,Cité 594 logements cheraga,,19000,
440,Algerie,Cité khelil Dbk Tizi-Ouzou,,19000,
441,Algerie,Cheraga,,19000,
442,Algerie,Bir Mourad Raïs,Avenue des Trois Frères Bouadou,19000,
443,Algerie,,Algiers,19000,Chemin des Glycines
444,Algerie,cité zighoud youcef 2éme étage Chelghoum Laid MILA,,19000,
445,Algerie,Rue Mahmoud bouhamidi Alger   ex joinville,6,19000,
446,Algerie,Rue d'Evreux. Bejaia,,19000,
447,Algerie,lotissement douzi 01 N 26 Bab Ezzouar Alger,,19000,
448,Algerie,18 rue sebti oran 31000,,19000,
449,Algerie,5 rue de la République,,19000,
450,Algerie,,Oran,19000,W44
451,Algerie,Cité Ali Abd Nour n-47  Skikda,,19000,
452,Algerie,rue sidi-souffi Bejaia,12,19000,
453,Algerie,21 Avenue Abdeslami Kouba,,19000,
454,Algerie,,Maghnia,19000,
455,Algerie,,El Tarf,19000,N82
456,Algerie,Ptt 2 bp 310 ihedadden,,19000,
457,Algerie,,VMMM+48 Tlemcen,19000,
458,Algerie,Sidi Moussa,,19000,
459,Algerie,Cooperative Thafath Ain el hammam Tizi Ouzou,,19000,
460,Algerie,Ave didouche Mourad oran,,19000,
461,Algerie,,Blida,19000,GR4W+587
462,Algerie,UV 05 n°221 Ali Mendjeli Constantine,,19000,
463,Algerie,Rue de Fouka Kolea Tipaza  (devant le tribunale de Kolea),,19000,
464,Algerie,Cité 100 logements Bt F13 Chéraga,,19000,
465,Algerie,Cité Brakni Blida,,19000,
466,Algerie,Rue 5 Juillet Bordj Bou Arreridj,,19000,
467,Algerie,Alger,Lotissement Urbain n 62,19000,
468,Algerie,04 rue de fouka commune kolea Tipaza- en face le tribunale de kolea-,,19000,
469,Algerie,54.RUE SIDI HASSEN -CHERAGA-ALGER,,19000,
470,Algerie,69 rue larbi ben mehidi oran,,19000,
471,Algerie,Cité 400 logements bâtiment 57 n 2 birkhadem alger,,19000,
472,Algerie,Alger,Staoueli,19000,Palm Beach
473,Algerie,Rue Ali sadek Bordj El kiffan,,19000,
474,Algerie,107 rue kara sliman kifen tlemcen,,19000,
475,Algerie,Alger said hamdine,,19000,
476,Algerie,Djelfa,,19000,
477,Algerie,Rue Ahmed zaidat- imm Sadoudi- Azazga -  Tizi Ouzou,,19000,
478,Algerie,Alger.,Rue du 19 Mai 1956 Baba Hassen,19000,2
479,Algerie,7 Rue Hamlaoui Constantine,,19000,
480,Algerie,,Béjaïa 06000,19000,Q32C+4PQ
481,Algerie,Alger,Bouzareah,19000,
482,Algerie,Batna,,19000,
483,Algerie,Alger,El Mouradia. 16070,19000,rue OUKIL EL HADJ
484,Algerie,cité 400 logements batiment 57 n 02 said hamdine,,19000,
485,Algerie,,Batna,19000,G5WG+WVM
486,Algerie,avenue de 1er novembre Sidi Aich Wilaya de Bejaia,,19000,
487,Algerie,ALGER,08 RUE CHERIF HAMANI,19000,
488,Algerie,,Bir El Djir,19000,PC24+G2J
489,Algerie,Ain El Hammam,,19000,
490,Algerie,Plateux Oran,,19000,
491,Algerie,Rue Hamaoui Hamid Elkseur,,19000,
492,Algerie,H55G+F94 Batna Algerie,,19000,
493,Algerie,cite de la paix tebessa,,19000,
494,Algerie,10bloca,10bloca,19000,CITE 100 log bloc à numéro 10 route  du port Mostaganem
495,Algerie,706 coop cilfa bordj el kiffan Alger,,19000,
496,Algerie,Bouira.,ECOTEC,19000,En face de la mosquée
497,Algerie,Rue ben choulak Mila,,19000,
498,Algerie,3 Rue Cherchali Boualam Baba Hassen,Alger,19000,
499,Algerie,02 rue zibouch Mohamed Constantine rue petit,,19000,
500,Algerie,Cité bel-vue CRS Setif,,19000,
501,Algerie,Alger,,19000,
502,Algerie,rue kabar adra centre cirta,6,19000,
503,Algerie,w Tlemcen,125 cite Remchi,19000,
504,Algerie,Blida,,19000,
505,Algerie,Boumérdès,N°10,19000,"Cité 221 logements Bt ""C"""
506,Algerie,alger,,19000,
507,Algerie,Béjaïa,Cité sidi ahmed rue Tikharoubine,19000,
508,Algerie,Bejaïa,cartier sghir,19000,Promotion Sabrachou
509,Algerie,,Béjaïa,19000,Q32F+RXF
510,Algerie,,Messâad,19000,5F8W+W3J
511,Algerie,Cité 1er Novembre Batiment J n° 01 Koléa W.Tipasa,,19000,
512,Algerie,,Messâad,19000,5F8W+W3J
513,Algerie,,El Oued,19000,المصاعبة،، 9V75+QV6
514,Algerie,31000 ORAN,1245 USTO HLM,19000,
515,Algerie,,Alger,19000,Souidanai
516,Algerie,Saïd Hamdine bt 1.,Route de Sidi Yahia,19000,
517,Algerie,20 rue boudjemee saadi  el mouradia alger,,19000,
518,Algerie,ZHUN SUD QUARTIER A TIZI-OUZOU,,19000,
519,Algerie,22 rue colonel Mohamed chaabani Alger,,19000,
520,Algerie,,Tlemcen,19000,VMMH+96P
521,Algerie,Rue Arezki Hamani,,19000,
522,Algerie,53 avenue colonel Lotfi bab el oued alger,,19000,
523,Algerie,,El Tarf,19000,Q885+VFH
524,Algerie,,Rue belahouel belahouel  bâtiment Merouani matmar Mostaganem,19000,
525,Algerie,31 rue mahmoud bouzebra skikda,,19000,
526,Algerie,Cheraga cité 100 logement bt c 1 numéro 4,,19000,
527,Algerie,29 Rue biet 1er étage Hydra - Alger 16000,,19000,
528,Algerie,Rue 1 novembre Rouiba - Alger,,19000,
529,Algerie,2 rue Mohamed mezach cité nasr batna,,19000,
530,Algerie,Bah ezzouar Alger,,19000,
531,Algerie,Bouzaréah Alger,villa 44,19000,Cité sahel
532,Algerie,,El Hammamet 16085,19000,07 cite repalle cap caxine
533,Algerie,Rue Président Ho Chi Minh - Oran,5,19000,
534,Algerie,14 coop El yasmine - Bir El Djir - n° 10 - Oran,,19000,
535,Algerie,,Bab Ezzouar,19000,P5MM+JH9
